City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
365,comodoro rivadavia,AR,-45.8667,-67.5,13.92,38,0,11.32,clear sky
366,arona,ES,28.0996,-16.681,20.5,85,0,1.54,clear sky
367,kasongo-lunda,CD,-6.4667,16.8167,19.73,96,72,0.35,broken clouds
368,sattur,IN,9.3667,77.9333,29.62,54,100,1.85,overcast clouds
369,polunochnoye,RU,60.8697,60.4153,6.03,71,99,1.85,overcast clouds
370,antalaha,MG,-14.9003,50.2788,22.2,76,6,2.96,clear sky
371,goderich,CA,43.7501,-81.7165,15.51,77,100,1.54,overcast clouds
372,malaya purga,RU,56.5567,53.0043,6.95,97,100,3.51,overcast clouds
373,pasni,PK,25.2631,63.471,27.22,64,0,1.28,clear sky
374,selty,RU,57.3132,52.1345,7.1,93,97,1.6,overcast clouds
375,necochea,AR,-38.5473,-58.7368,11.68,87,100,1.15,overcast clouds
376,jalingo,NG,8.8833,11.3667,22.86,90,96,0.84,light rain
377,umm kaddadah,SD,13.6017,26.6876,28.65,49,98,2.71,overcast clouds
378,kolyshley,RU,52.7005,44.5367,7.67,85,95,4.88,overcast clouds
379,zalaszentgrot,HU,46.9447,17.0792,7.98,77,95,1.91,overcast clouds
380,prado,BR,-17.3411,-39.2208,22.99,90,80,3.22,broken clouds
381,mto wa mbu,TZ,-3.35,35.85,19.41,79,100,2.88,overcast clouds
382,virginia beach,US,36.8529,-75.978,16.68,92,90,3.54,overcast clouds
383,guatire,VE,10.4762,-66.5427,25.67,97,100,1.25,overcast clouds
384,chicama,PE,-7.8447,-79.1469,14.3,84,43,2.15,scattered clouds
385,inongo,CD,-1.95,18.2667,21.21,97,100,1.12,light rain
386,camacha,PT,33.0833,-16.3333,19.68,78,40,6.17,scattered clouds
387,gayny,RU,60.3071,54.3241,5.47,84,100,2.67,overcast clouds
388,caluquembe,AO,-13.7833,14.6833,15.06,82,80,0.03,broken clouds
389,san rafael del sur,NI,11.8485,-86.4384,26.54,88,100,2.37,overcast clouds
390,reconquista,AR,-29.15,-59.65,17.61,95,100,4.07,moderate rain
391,parabel,RU,58.6978,81.4825,4.3,70,75,2.42,broken clouds
392,el cope,PA,8.6167,-80.6,20.17,92,100,0.74,overcast clouds
393,neyshabur,IR,36.2133,58.7958,16.86,13,0,0.6,clear sky
394,mayumba,GA,-3.432,10.6554,24.32,89,100,3.58,overcast clouds
395,berlevag,NO,70.8578,29.0864,6.0,75,100,3.6,overcast clouds
396,cayenne,GF,4.9333,-52.3333,24.02,94,20,0.51,few clouds
